Package,Size
device-mapper-event-libs-1.02.175-7.f36, 59332
grub2-tools-minimal-1:2.06-53.f36, 3241784
kpartx-0.8.7-8.f36, 77531
openssh-8.8p1-1.f36.1, 1948856
openssh-clients-8.8p1-1.f36.1, 2130428
containernetworking-plugins-1.1.0-1.f36, 51966583
openssh-server-8.8p1-1.f36.1, 1084151
device-mapper-event-1.02.175-7.f36, 52421
lvm2-libs-2.03.11-7.f36, 2674873
afterburn-5.3.0-2.f36, 4718371
dnsmasq-2.86-10.f36, 742642
flatpak-session-helper-1.12.7-5.f36, 106485
iputils-20211215-2.f36, 621769
libkcapi-1.4.0-2.f36, 101504
libkcapi-hmaccalc-1.4.0-2.f36, 37821
logrotate-3.20.1-2.f36, 163411
samba-common-2:4.16.5-0.f36, 138114
libwbclient-2:4.16.5-0.f36, 75315
samba-common-libs-2:4.16.5-0.f36, 291007
samba-client-libs-2:4.16.5-0.f36, 21048278
libsmbclient-2:4.16.5-0.f36, 178928
polkit-0.120-5.f36, 444092
polkit-pkla-compat-0.1-21.f36, 96501
rpcbind-1.2.6-2.f36, 115043
device-mapper-multipath-libs-0.8.7-8.f36, 906668
cryptsetup-2.4.3-2.f36, 557728
libluksmeta-9-13.f36, 46724
luksmeta-9-13.f36, 32683
conmon-2:2.1.4-2.f36, 334737
libgcab1-1.4-6.f36, 216151
libgudev-237-2.f36, 89968
libgusb-0.3.10-2.f36, 130616
libslirp-4.6.1-3.f36, 150036
slirp4netns-1.2.0-0.2.beta.0.f36, 90843
btrfs-progs-5.18-1.f36, 5153496
libssh-0.9.6-4.f36, 513233
libcurl-7.82.0-8.f36, 693726
ostree-libs-2022.5-2.f36, 1093734
tpm2-tss-3.2.0-3.f36, 2240547
systemd-udev-250.8-1.f36, 10867000
dracut-056-1.f36, 1258857
NetworkManager-1:1.38.4-1.f36, 5993221
dracut-network-056-1.f36, 188470
kernel-core-5.19.11-200.f36, 96874619
curl-7.82.0-8.f36, 700245
rpm-4.17.1-3.f36, 2945888
rpm-libs-4.17.1-3.f36, 775612
policycoreutils-3.3-4.f36, 696427
rpm-plugin-selinux-4.17.1-3.f36, 16635
selinux-policy-36.15-1.f36, 25743
selinux-policy-targeted-36.15-1.f36, 18713638
container-selinux-2:2.190.0-1.f36, 58147
containers-common-4:1-59.f36, 113578
runc-2:1.1.3-1.f36, 10550076
containerd-1.6.8-4.f36, 140069444
skopeo-1:1.9.2-1.f36, 23248073
libmodulemd-2.14.0-2.f36, 733461
libsolv-0.7.22-1.f36, 910874
rpm-ostree-libs-2022.13-1.f36, 35124
kernel-modules-5.19.11-200.f36, 60049908
dracut-squash-056-1.f36, 3308
ostree-2022.5-2.f36, 575183
coreos-installer-0.16.0-1.f36, 10624170
os-prober-1.77-9.f36, 114317
grub2-tools-1:2.06-53.f36, 8553683
grub2-efi-x64-1:2.06-53.f36, 5015926
tpm2-tools-5.2-2.f36, 1496806
clevis-18-9.f36, 126466
clevis-luks-18-9.f36, 70138
clevis-systemd-18-9.f36, 2962
librepo-1.14.4-1.f36, 238100
sssd-client-2.7.4-1.f36, 358065
sssd-common-2.7.4-1.f36, 5653679
sssd-krb5-common-2.7.4-1.f36, 221209
sssd-common-pac-2.7.4-1.f36, 243336
isns-utils-libs-0.101-4.f36, 516626
iscsi-initiator-utils-iscsiuio-6.2.1.4-4.git2a8f9d8.f36, 193767
iscsi-initiator-utils-6.2.1.4-4.git2a8f9d8.f36, 1512627
libnvme-1.0-1.f36, 188470
mokutil-2:0.6.0-3.f36, 101286
catatonit-0.1.7-5.f36, 850485
podman-4:4.2.0-2.f36, 42469310
bind-license-32:9.16.33-1.f36, 18520
bind-libs-32:9.16.33-1.f36, 3617068
bind-utils-32:9.16.33-1.f36, 677480
sssd-ad-2.7.4-1.f36, 450345
sssd-ipa-2.7.4-1.f36, 728984
toolbox-0.0.99.3-6.f36, 7326380
shim-x64-15.6-2.f35, 3787812
nvme-cli-2.0-2.f36, 4209494
sssd-krb5-2.7.4-1.f36, 89525
sssd-ldap-2.7.4-1.f36, 182100
rpm-ostree-2022.13-1.f36, 12999054
clevis-dracut-18-9.f36, 6228
grub2-pc-1:2.06-53.f36, 31
coreos-installer-bootinfra-0.16.0-1.f36, 2238500
kexec-tools-2.0.24-4.f36, 1342347
kernel-5.19.11-200.f36, 0
moby-engine-20.10.18-1.f36, 120139143
console-login-helper-messages-motdgen-0.21.3-1.f36, 1496
afterburn-dracut-5.3.0-2.f36, 3230
ignition-2.14.0-3.f36, 19797938
NetworkManager-cloud-setup-1:1.38.4-1.f36, 123559
NetworkManager-team-1:1.38.4-1.f36, 49606
NetworkManager-tui-1:1.38.4-1.f36, 788728
console-login-helper-messages-issuegen-0.21.3-1.f36, 6606
fwupd-1.8.5-1.f36, 8827847
git-core-2.37.3-1.f36, 19006000
systemd-container-250.8-1.f36, 1397602
device-mapper-multipath-0.8.7-8.f36, 309964
nfs-utils-coreos-1:2.6.2-0.f36, 448320
cifs-utils-6.15-1.f36, 226182
podman-plugins-4:4.2.0-2.f36, 3353892
lvm2-2.03.11-7.f36, 3893471
ssh-key-dir-0.1.3-2.f36, 770778
fuse-sshfs-3.7.3-1.f36, 127759
console-login-helper-messages-profile-0.21.3-1.f36, 728
bootupd-0.2.6-2.f36, 2478213
chrony-4.2-5.f36, 621566
iptables-services-1.8.7-15.f36, 27605
mdadm-4.2-1.f36, 1005347
net-tools-2.0-0.61.20160912git.f36, 941436
stalld-1.15-2.f36, 76221
wireguard-tools-1.0.20210914-2.f36, 296535
passwd-0.80-12.f36, 441815
cloud-utils-growpart-0.31-10.f36, 64771
zram-generator-1.1.2-1.f36, 943497
sudo-1.9.8-5.p2.f36, 4401084
bsdtar-3.5.3-3.f36, 135941
lsof-4.94.0-3.f36, 642964
irqbalance-2:1.7.0-8.f35, 84947
e2fsprogs-1.46.5-2.f36, 4459332
xfsprogs-5.14.2-2.f36, 3434542
iptables-nft-1.8.7-15.f36, 559249
openssl-1:3.0.5-1.f36, 1898545
rsync-3.2.6-1.f36, 777661
socat-1.7.4.2-2.f36, 1166569
zincati-0.0.24-3.f36, 6156478
sg3_utils-1.46-3.f36, 2816021
iproute-tc-5.15.0-2.f36, 951425
bash-completion-1:2.11-6.f36, 1053981
nano-default-editor-6.0-2.f36, 514
efibootmgr-16-12.f36, 96787
vim-minimal-2:9.0.475-1.f36, 1673677
acl-2.3.1-3.f36, 214423
attr-2.5.1-4.f36, 166557
bzip2-1.0.8-11.f36, 94325
WALinuxAgent-udev-2.7.3.0-1.f36, 2380
ncurses-6.2-9.20210508.f36, 626868
nss-altfiles-2.18.1-20.f36, 17288
fedora-repos-archive-36-4.f36, 986
fedora-repos-modular-36-4.f36, 4042
microcode_ctl-2:2.1-51.1.f36, 6044793
fedora-repos-ostree-36-4.f36, 297
