Name,Frequency,Size,Src
popt-1.19-1.fc37.x86_64,4,136340,popt-1.19-1.fc37.src.rpm
libyaml-0.2.5-8.fc37.x86_64,0,133117,libyaml-0.2.5-8.fc37.src.rpm
lzo-2.10-7.fc37.x86_64,0,131248,lzo-2.10-7.fc37.src.rpm
pigz-2.7-2.fc37.x86_64,1,129024,pigz-2.7-2.fc37.src.rpm
gdbm-libs-1:1.23-2.fc37.x86_64,1,128952,gdbm-1.23-2.fc37.src.rpm
libbsd-0.10.0-10.fc37.x86_64,0,125690,libbsd-0.10.0-10.fc37.src.rpm
libusb1-1.0.25-9.fc37.x86_64,3,124088,libusb1-1.0.25-9.fc37.src.rpm
keyutils-1.6.1-5.fc37.x86_64,0,121947,keyutils-1.6.1-5.fc37.src.rpm
libgusb-0.4.2-1.fc37.x86_64,2,121424,libgusb-0.4.2-1.fc37.src.rpm
kmod-libs-30-2.fc37.x86_64,1,121024,kmod-30-2.fc37.src.rpm
wireguard-tools-1.0.20210914-3.fc37.x86_64,0,119118,wireguard-tools-1.0.20210914-3.fc37.src.rpm
NetworkManager-cloud-setup-1:1.40.0-1.fc37.x86_64,18,118346,NetworkManager-1.40.0-1.fc37.src.rpm
libini_config-1.3.1-52.fc37.x86_64,1,116600,ding-libs-0.6.2-52.fc37.src.rpm
libsmartcols-2.38.1-1.fc37.x86_64,5,113208,util-linux-2.38.1-1.fc37.src.rpm
bubblewrap-0.5.0-3.fc37.x86_64,0,111811,bubblewrap-0.5.0-3.fc37.src.rpm
pam-libs-1.5.2-14.fc37.x86_64,3,110736,pam-1.5.2-14.fc37.src.rpm
jose-11-6.fc37.x86_64,0,110678,jose-11-6.fc37.src.rpm
fuse-overlayfs-1.9-6.fc37.x86_64,3,109213,fuse-overlayfs-1.9-6.fc37.src.rpm
zlib-1.2.12-5.fc37.x86_64,4,108664,zlib-1.2.12-5.fc37.src.rpm
logrotate-3.20.1-3.fc37.x86_64,3,107949,logrotate-3.20.1-3.fc37.src.rpm
c-ares-1.17.2-3.fc37.x86_64,0,104455,c-ares-1.17.2-3.fc37.src.rpm
libnet-1.2-6.fc37.x86_64,0,104222,libnet-1.2-6.fc37.src.rpm
rpcbind-1.2.6-3.fc37.x86_64,0,101485,rpcbind-1.2.6-3.fc37.src.rpm
libtdb-1.4.7-3.fc37.x86_64,1,99728,libtdb-1.4.7-3.fc37.src.rpm
lmdb-libs-0.9.29-4.fc37.x86_64,0,98430,lmdb-0.9.29-4.fc37.src.rpm
zchunk-libs-1.2.3-1.fc37.x86_64,4,96790,zchunk-1.2.3-1.fc37.src.rpm
libtasn1-4.18.0-3.fc37.x86_64,0,94808,libtasn1-4.18.0-3.fc37.src.rpm
iptables-legacy-1.8.8-3.fc37.x86_64,3,93528,iptables-1.8.8-3.fc37.src.rpm
efibootmgr-18-2.fc37.x86_64,2,93239,efibootmgr-18-2.fc37.src.rpm
fuse-sshfs-3.7.3-2.fc37.x86_64,1,89584,fuse-sshfs-3.7.3-2.fc37.src.rpm
libtevent-0.13.0-1.fc37.x86_64,3,88088,libtevent-0.13.0-1.fc37.src.rpm
libassuan-2.5.5-5.fc37.x86_64,0,87000,libassuan-2.5.5-5.fc37.src.rpm
criu-libs-3.17.1-3.fc37.x86_64,5,86768,criu-3.17.1-3.fc37.src.rpm
crypto-policies-20220815-1.gite4ed860.fc37.noarch,6,86356,crypto-policies-20220815-1.gite4ed860.fc37.src.rpm
libteam-1.31-6.fc37.x86_64,0,86272,libteam-1.31-6.fc37.src.rpm
clevis-18-12.fc37.x86_64,3,83010,clevis-18-12.fc37.src.rpm
yajl-2.1.0-19.fc37.x86_64,0,82567,yajl-2.1.0-19.fc37.src.rpm
bsdtar-3.6.1-2.fc37.x86_64,3,81374,libarchive-3.6.1-2.fc37.src.rpm
json-c-0.16-3.fc37.x86_64,2,80497,json-c-0.16-3.fc37.src.rpm
flatpak-session-helper-1.14.0-2.fc37.x86_64,16,79917,flatpak-1.14.0-2.fc37.src.rpm
xxhash-libs-0.8.1-3.fc37.x86_64,0,79485,xxhash-0.8.1-3.fc37.src.rpm
libpsl-0.21.1-6.fc37.x86_64,0,78652,libpsl-0.21.1-6.fc37.src.rpm
slirp4netns-1.2.0-8.fc37.x86_64,2,77722,slirp4netns-1.2.0-8.fc37.src.rpm
bzip2-libs-1.0.8-12.fc37.x86_64,0,76912,bzip2-1.0.8-12.fc37.src.rpm
